Date/Time,Unit,Value,
12/5/2022 6:48,C,12,831
12/5/2022 7:48,C,13,27
12/5/2022 8:48,C,15,837
12/5/2022 9:48,C,18,278
12/5/2022 10:48,C,20,217
12/5/2022 11:48,C,23,531
12/5/2022 12:48,C,23,281
12/5/2022 13:48,C,23,969
12/5/2022 14:48,C,24,906
12/5/2022 15:48,C,26,594
12/5/2022 16:48,C,27,906
12/5/2022 17:48,C,27,718
12/5/2022 18:48,C,26,281
12/5/2022 19:48,C,24,156
12/5/2022 20:48,C,20,967
12/5/2022 21:48,C,19,591
12/5/2022 22:48,C,18,27
12/5/2022 23:48,C,17,527
13/05/22 0:48:01,C,16,463
13/05/22 1:48:01,C,16,15
13/05/22 2:48:01,C,15,524
13/05/22 3:48:01,C,14,71
13/05/22 4:48:01,C,14,21
13/05/22 5:48:01,C,13,896
13/05/22 6:48:01,C,13,52
13/05/22 7:48:01,C,14,459
13/05/22 8:48:01,C,17,339
13/05/22 9:48:01,C,20,842
13/05/22 10:48:01,C,24,531
13/05/22 11:48:01,C,27,531
13/05/22 12:48:01,C,26,31
13/05/22 13:48:01,C,25,906
13/05/22 14:48:01,C,26,719
13/05/22 15:48:01,C,28,31
13/05/22 16:48:01,C,29,467
13/05/22 17:48:01,C,29,592
13/05/22 18:48:01,C,28,281
13/05/22 19:48:01,C,26,94
13/05/22 20:48:01,C,23,594
13/05/22 21:48:01,C,22,156
13/05/22 22:48:01,C,21,405
13/05/22 23:48:01,C,20,342
14/05/22 0:48:01,C,19,967
14/05/22 1:48:01,C,19,153
14/05/22 2:48:01,C,18,278
14/05/22 3:48:01,C,17,965
14/05/22 4:48:01,C,17,777
14/05/22 5:48:01,C,17,464
14/05/22 6:48:01,C,15,586
14/05/22 7:48:01,C,15,273
14/05/22 8:48:01,C,15,712
14/05/22 9:48:01,C,14,96
14/05/22 10:48:01,C,15,962
14/05/22 11:48:01,C,20,717
14/05/22 12:48:01,C,22,843
14/05/22 13:48:01,C,24,281
14/05/22 14:48:01,C,26,31
14/05/22 15:48:01,C,27,156
14/05/22 16:48:01,C,26,969
14/05/22 17:48:01,C,24,906
14/05/22 18:48:01,C,23,406
14/05/22 19:48:01,C,21,93
14/05/22 20:48:01,C,18,653
14/05/22 21:48:01,C,17,714
14/05/22 22:48:01,C,17,151
14/05/22 23:48:01,C,16,776
15/05/22 0:48:01,C,16,525
15/05/22 1:48:01,C,16,15
15/05/22 2:48:01,C,15,649
15/05/22 3:48:01,C,15,712
15/05/22 4:48:01,C,15,586
15/05/22 5:48:01,C,15,336
15/05/22 6:48:01,C,15,273
15/05/22 7:48:01,C,15,524
15/05/22 8:48:01,C,15,524
15/05/22 9:48:01,C,17,276
15/05/22 10:48:01,C,18,903
15/05/22 11:48:01,C,20,29
15/05/22 12:48:01,C,20,717
15/05/22 13:48:01,C,20,655
15/05/22 14:48:01,C,20,92
15/05/22 15:48:01,C,20,655
15/05/22 16:48:01,C,20,905
15/05/22 17:48:01,C,18,903
15/05/22 18:48:01,C,17,965
15/05/22 19:48:01,C,17,214
15/05/22 20:48:01,C,16,212
15/05/22 21:48:01,C,15,962
15/05/22 22:48:01,C,15,837
15/05/22 23:48:01,C,15,962
16/05/22 0:48:01,C,15,962
16/05/22 1:48:01,C,15,899
16/05/22 2:48:01,C,15,712
16/05/22 3:48:01,C,15,712
16/05/22 4:48:01,C,15,399
16/05/22 5:48:01,C,15,649
16/05/22 6:48:01,C,15,273
16/05/22 7:48:01,C,15,649
16/05/22 8:48:01,C,16,713
16/05/22 9:48:01,C,17,652
16/05/22 10:48:01,C,18,278
16/05/22 11:48:01,C,18,215
16/05/22 12:48:01,C,17,652
