Date/Time,Unit,Value,
12/5/2022 8:02,%RH,71,691
12/5/2022 9:02,%RH,70,806
12/5/2022 10:02,%RH,70,66
12/5/2022 11:02,%RH,68,876
12/5/2022 12:02,%RH,66,93
12/5/2022 13:02,%RH,66,93
12/5/2022 14:02,%RH,67,23
12/5/2022 15:02,%RH,66,629
12/5/2022 16:02,%RH,65,875
12/5/2022 17:02,%RH,65,421
12/5/2022 18:02,%RH,65,421
12/5/2022 19:02,%RH,65,421
12/5/2022 20:02,%RH,67,23
12/5/2022 21:02,%RH,69,174
12/5/2022 22:02,%RH,69,25
12/5/2022 23:02,%RH,69,62
13/05/22 0:02:01,%RH,69,62
13/05/22 1:02:01,%RH,69,62
13/05/22 2:02:01,%RH,69,917
13/05/22 3:02:01,%RH,70,362
13/05/22 4:02:01,%RH,70,362
13/05/22 5:02:01,%RH,70,806
13/05/22 6:02:01,%RH,71,249
13/05/22 7:02:01,%RH,70,214
13/05/22 8:02:01,%RH,69,472
13/05/22 9:02:01,%RH,69,25
13/05/22 10:02:01,%RH,67,531
13/05/22 11:02:01,%RH,65,421
13/05/22 12:02:01,%RH,64,663
13/05/22 13:02:01,%RH,64,36
13/05/22 14:02:01,%RH,64,36
13/05/22 15:02:01,%RH,63,293
13/05/22 16:02:01,%RH,63,293
13/05/22 17:02:01,%RH,62,834
13/05/22 18:02:01,%RH,62,528
13/05/22 19:02:01,%RH,63,751
13/05/22 20:02:01,%RH,64,512
13/05/22 21:02:01,%RH,64,55
13/05/22 22:02:01,%RH,64,36
13/05/22 23:02:01,%RH,62,834
14/05/22 0:02:01,%RH,62,68
14/05/22 1:02:01,%RH,62,834
14/05/22 2:02:01,%RH,63,14
14/05/22 3:02:01,%RH,64,36
14/05/22 4:02:01,%RH,64,815
14/05/22 5:02:01,%RH,65,573
14/05/22 6:02:01,%RH,65,573
14/05/22 7:02:01,%RH,76,925
14/05/22 8:02:01,%RH,85,365
14/05/22 9:02:01,%RH,87,963
14/05/22 10:02:01,%RH,98,256
14/05/22 11:02:01,%RH,99,532
14/05/22 12:02:01,%RH,96,712
14/05/22 13:02:01,%RH,93,712
14/05/22 14:02:01,%RH,90,927
14/05/22 15:02:01,%RH,88,776
14/05/22 16:02:01,%RH,87,828
14/05/22 17:02:01,%RH,83,428
14/05/22 18:02:01,%RH,79,637
14/05/22 19:02:01,%RH,78,642
14/05/22 20:02:01,%RH,76,206
14/05/22 21:02:01,%RH,75,773
14/05/22 22:02:01,%RH,76,62
14/05/22 23:02:01,%RH,76,35
15/05/22 0:02:01,%RH,75,773
15/05/22 1:02:01,%RH,76,62
15/05/22 2:02:01,%RH,75,629
15/05/22 3:02:01,%RH,76,62
15/05/22 4:02:01,%RH,75,195
15/05/22 5:02:01,%RH,75,195
15/05/22 6:02:01,%RH,75,484
15/05/22 7:02:01,%RH,76,206
15/05/22 8:02:01,%RH,75,34
15/05/22 9:02:01,%RH,75,773
15/05/22 10:02:01,%RH,75,5
15/05/22 11:02:01,%RH,75,195
15/05/22 12:02:01,%RH,74,33
15/05/22 13:02:01,%RH,73,45
15/05/22 14:02:01,%RH,72,425
15/05/22 15:02:01,%RH,72,425
15/05/22 16:02:01,%RH,72,425
15/05/22 17:02:01,%RH,72,132
15/05/22 18:02:01,%RH,73,304
15/05/22 19:02:01,%RH,74,179
15/05/22 20:02:01,%RH,74,76
15/05/22 21:02:01,%RH,74,76
15/05/22 22:02:01,%RH,86,6
15/05/22 23:02:01,%RH,98,64
16/05/22 0:02:01,%RH,99,913
16/05/22 1:02:01,%RH,99,405
16/05/22 2:02:01,%RH,97,99
16/05/22 3:02:01,%RH,96,64
16/05/22 4:02:01,%RH,95,674
16/05/22 5:02:01,%RH,94,892
16/05/22 6:02:01,%RH,94,106
16/05/22 7:02:01,%RH,93,58
16/05/22 8:02:01,%RH,92,259
16/05/22 9:02:01,%RH,90,526
16/05/22 10:02:01,%RH,88,776
16/05/22 11:02:01,%RH,86,189
16/05/22 12:02:01,%RH,85,503
16/05/22 13:02:01,%RH,90,258
16/05/22 14:02:01,%RH,92,391
16/05/22 15:02:01,%RH,91,86
16/05/22 16:02:01,%RH,92,259
16/05/22 17:02:01,%RH,92,656
16/05/22 18:02:01,%RH,93,185
16/05/22 19:02:01,%RH,92,921
16/05/22 20:02:01,%RH,92,126
16/05/22 21:02:01,%RH,91,461
16/05/22 22:02:01,%RH,89,451
16/05/22 23:02:01,%RH,90,124
17/05/22 0:02:01,%RH,87,556
17/05/22 1:02:01,%RH,86,737
17/05/22 2:02:01,%RH,85,503
17/05/22 3:02:01,%RH,84,814
17/05/22 4:02:01,%RH,84,952
17/05/22 5:02:01,%RH,87,692
17/05/22 6:02:01,%RH,89,989
17/05/22 7:02:01,%RH,92,126
17/05/22 8:02:01,%RH,92,656
17/05/22 9:02:01,%RH,93,185
17/05/22 10:02:01,%RH,93,53
17/05/22 11:02:01,%RH,92,259
17/05/22 12:02:01,%RH,92,126
17/05/22 13:02:01,%RH,92,789
17/05/22 14:02:01,%RH,90,794
17/05/22 15:02:01,%RH,90,124
17/05/22 16:02:01,%RH,88,506
17/05/22 17:02:01,%RH,88,37
17/05/22 18:02:01,%RH,86,6
17/05/22 19:02:01,%RH,85,915
17/05/22 20:02:01,%RH,84,399
17/05/22 21:02:01,%RH,83,567
17/05/22 22:02:01,%RH,82,871
17/05/22 23:02:01,%RH,82,871
18/05/22 0:02:01,%RH,82,871
18/05/22 1:02:01,%RH,82,591
18/05/22 2:02:01,%RH,83,706
18/05/22 3:02:01,%RH,82,591
