,code,model,AIC,topt,rmax,breadth
1,TLCRP005,gaussian,292.1778513,35.90427579,2.464966938,4.5
2,TLCRP005,joehnk,292.1211077,37.42427579,2.296655696,4.958
3,TLCRP005,modifiedgaussian,286.7714912,36.98927579,3.520424671,2.213
4,TLCRP005,quadratic,349.5957876,41.07527579,1.977030021,4.48
5,TLCRP005,sharpeschoolhigh,253.4798333,37.43927579,3.08131889,2.44
6,TLCRP005,spain,290.850653,37.33527579,2.289215,5.073
7,TLCRP005,thomas1,277.4040482,36.73327579,2.568475108,4.138
8,TLCRP005,weibull,276.6603996,36.54227579,2.633434929,3.889
9,TLCRP006,gaussian,176.3182421,35.57060817,2.035304922,2.026
10,TLCRP006,joehnk,146.8426753,34.92460817,2.473679521,1.364
11,TLCRP006,modifiedgaussian,158.5624155,34.38460817,2.526292112,1.862
12,TLCRP006,quadratic,153.6803932,35.57060817,1.961479339,2.024
13,TLCRP006,sharpeschoolhigh,170.2454902,34.84560817,2.319608661,1.53
14,TLCRP006,spain,151.9282433,35.57060817,2.394296079,1.509
15,TLCRP006,thomas1,176.2968958,34.88660817,2.54497071,1.342
16,TLCRP006,weibull,175.5828348,35.57060817,2.128551926,1.794
17,TLCRP007,gaussian,257.453341,40.33002418,1.502479872,8.106
18,TLCRP007,joehnk,223.9418763,36.96602418,1.824972159,5.157
19,TLCRP007,modifiedgaussian,217.8125167,37.04702418,3.934869584,1.921
20,TLCRP007,quadratic,260.1567068,40.33002418,1.729212063,4.676
21,TLCRP007,sharpeschoolhigh,221.6936096,37.27002418,1.965933183,4.073
22,TLCRP007,spain,230.316675,37.12702418,1.738549475,5.748
23,TLCRP007,thomas1,240.1931481,36.35702418,1.702574832,6.462
24,TLCRP007,weibull,246.9649393,36.01202418,1.631470828,7.347
25,TLCRP008,gaussian,222.5205432,32.76921427,2.174081318,4.216
26,TLCRP008,joehnk,199.9426034,31.59021427,2.674276721,2.43
27,TLCRP008,modifiedgaussian,190.9573048,31.16321427,6.00018422,1.786
28,TLCRP008,quadratic,212.1819114,32.76921427,2.523583706,2.171
29,TLCRP008,sharpeschoolhigh,205.4245547,31.65821427,2.533864889,2.663
30,TLCRP008,spain,206.0613776,31.61221427,2.465891691,2.998
31,TLCRP008,thomas1,215.8609509,32.76921427,2.54327093,2.012
32,TLCRP008,weibull,216.1272545,32.76921427,2.277397735,3.538
33,TLCRP009,gaussian,181.9854187,32.78905814,1.273799489,12.051
34,TLCRP009,joehnk,174.8839199,34.49505814,1.507783712,6.245
35,TLCRP009,modifiedgaussian,181.4987008,34.67205814,1.552638541,6.384
36,TLCRP009,quadratic,183.422742,35.46905814,1.259474972,12.338
37,TLCRP009,sharpeschoolhigh,176.6431218,34.67905814,1.424213041,7.611
38,TLCRP009,spain,172.9750639,34.47405814,1.489466718,6.682
39,TLCRP009,thomas1,181.2876153,32.34105814,1.359681714,9.816
40,TLCRP009,weibull,182.5472087,32.30505814,1.317332321,11.27
41,TLCRP012,gaussian,206.3386184,40.24382896,1.224789407,8.572
42,TLCRP012,joehnk,210.4125387,40.24382896,1.258766813,7.59
43,TLCRP012,modifiedgaussian,199.9515758,37.55882896,1.802986523,3.151
44,TLCRP012,quadratic,207.7888853,40.24382896,1.304465818,6.487
45,TLCRP012,sharpeschoolhigh,204.919117,37.77482896,1.366794795,5.891
46,TLCRP012,spain,205.4204072,37.89482896,1.354574423,6.175
47,TLCRP012,thomas1,207.002715,37.14782896,1.232660754,8.793
48,TLCRP012,weibull,207.5233328,37.39582896,1.21365955,9.012
49,TLCRP013,gaussian,189.3283807,36.25934708,1.710430454,6.787
50,TLCRP013,joehnk,184.29453,34.78534708,1.913137007,4.38
51,TLCRP013,modifiedgaussian,171.277634,32.76034708,2.24745701,2.628
52,TLCRP013,quadratic,194.334578,36.25934708,1.866181322,4.571
53,TLCRP013,sharpeschoolhigh,165.3412428,33.76334708,2.055400405,3.97
54,TLCRP013,spain,168.4174968,33.65434708,1.957363617,4.786
55,TLCRP013,thomas1,177.3713329,32.99934708,1.844724862,5.989
56,TLCRP013,weibull,182.3773089,32.90134708,1.763241077,7.093
57,TLCRP014,gaussian,207.9101456,32.67971266,1.583907973,7.94
58,TLCRP014,joehnk,181.9844215,34.21771266,1.870485756,4.868
59,TLCRP014,modifiedgaussian,193.136834,34.15171266,2.700030025,1.617
60,TLCRP014,quadratic,222.4646085,37.58971266,1.500198106,7.101
61,TLCRP014,sharpeschoolhigh,178.1305059,34.41571266,1.980392224,3.828
62,TLCRP014,spain,182.6722554,34.27071266,1.829344708,5.152
63,TLCRP014,thomas1,186.3785105,33.73471266,1.815866208,5.584
64,TLCRP014,weibull,194.3121921,33.09371266,1.797128518,5.628
65,TLCRP015,gaussian,387.9402071,40.78886611,1.825107889,9.02
