,code,model,AIC,topt,rmax,breadth,tfmin,tfmax
5,TLCRP005,sharpeschoolhigh,764.4690507,36.38527579,1.470085232,6.401,32.55627579,38.95727579
7,TLCRP005,weibull,770.6199483,36.37827579,1.434251785,6.669,32.39427579,39.06327579
2,TLCRP005,beta,777.6396611,36.26027579,1.421536195,6.789,32.34727579,39.13627579
1,TLCRP005,gaussian,781.2509206,35.84627579,1.426570646,6.737,32.47827579,39.21527579
3,TLCRP005,rezende,807.6459369,37.00227579,1.243504017,8.572,31.34027579,39.91227579
6,TLCRP005,spain,820.3559007,37.19627579,1.221579119,8.944,31.05327579,39.99727579
4,TLCRP005,quadratic,942.1103212,41.07527579,1.17334523,10.326,30.74927579,41.07527579
13,TLCRP006,spain,315.3261244,35.57465811,1.371728955,2.311,33.26365811,35.57465811
11,TLCRP006,quadratic,333.0787174,35.57465811,1.106626884,3.772,31.80265811,35.57465811
9,TLCRP006,beta,339.5855099,35.57465811,1.44051722,1.766,33.80865811,35.57465811
12,TLCRP006,sharpeschoolhigh,346.1032,35.09865811,1.17667549,2.975,32.59965811,35.57465811
14,TLCRP006,weibull,347.3604238,35.57465811,1.214517583,2.839,32.73565811,35.57465811
8,TLCRP006,gaussian,347.6381815,35.57465811,1.176859158,2.999,32.57565811,35.57465811
10,TLCRP006,rezende,647.1883701,14.51965811,0.046931875,1.877,14.51965811,16.39665811
19,TLCRP007,sharpeschoolhigh,526.5987316,37.43880989,1.262935163,6.886,32.01180989,38.89780989
17,TLCRP007,rezende,551.1114572,37.13080989,1.145481777,8.232,31.24980989,39.48180989
20,TLCRP007,spain,569.640068,37.23480989,1.0869689,8.908,30.71780989,39.62580989
16,TLCRP007,beta,587.382268,36.82080989,1.105472574,8.593,30.97080989,39.56380989
21,TLCRP007,weibull,599.1927836,36.36780989,1.135219158,8.084,31.53880989,39.62280989
15,TLCRP007,gaussian,680.754392,40.32980989,0.929197674,11.415,28.91480989,40.32980989
18,TLCRP007,quadratic,692.8544325,40.32980989,1.055905877,9.468,30.86180989,40.32980989
24,TLCRP008,rezende,562.3788269,31.48977703,1.627798646,5.1,27.89377703,32.99377703
26,TLCRP008,sharpeschoolhigh,564.124836,31.63977703,1.672704993,4.917,27.93877703,32.85577703
27,TLCRP008,spain,572.0872226,31.76877703,1.573155275,5.315,27.76077703,33.07577703
23,TLCRP008,beta,588.8900199,31.66177703,1.542986314,5.486,27.68777703,33.17377703
28,TLCRP008,weibull,600.5416867,31.20577703,1.606440303,4.987,28.22577703,33.21277703
25,TLCRP008,quadratic,632.4550768,33.40877703,1.634944423,5.554,27.85477703,33.40877703
22,TLCRP008,gaussian,639.0720261,33.40877703,1.421124824,6.347,27.06177703,33.40877703
33,TLCRP009,sharpeschoolhigh,512.2423336,34.93541858,0.792749032,13.041,23.50241858,36.54341858
31,TLCRP009,rezende,513.1627939,35.21641858,0.805759656,12.878,23.79041858,36.66841858
34,TLCRP009,spain,516.7161226,34.78241858,0.765523027,13.941,22.87341858,36.81441858
30,TLCRP009,beta,523.3386008,33.96841858,0.71852495,14.708,22.37141858,37.07941858
35,TLCRP009,weibull,530.1900347,33.12941858,0.679568637,15.374,21.83441858,37.20841858
29,TLCRP009,gaussian,531.2043542,34.13641858,0.663514349,15.871,21.33741858,37.20841858
32,TLCRP009,quadratic,535.2485037,37.20841858,0.697731725,16.253,20.95541858,37.20841858
