code,sensor,weight,svl,model,AIC,topt,rmax,breadth,tfmin,tfmax,Tb_emerge,Tb_retreat
TLCRP005,5,61.7,131,sharpeschoolhigh,727.77,36.44,1.46,6.51,32.47,38.98,13.58,41.08
TLCRP006,2,98.5,147,sharpeschoolhigh,316.26,35,1.16,3.28,32.29,35.58,14.58,35.73
TLCRP007,1,81.1,148,sharpeschoolhigh,524.36,37.44,1.26,7.21,31.72,38.92,10.3,40.33
TLCRP008,3,78.4,144,sharpeschoolhigh,512.91,31.69,1.64,5.19,27.73,32.91,12.03,33.43
TLCRP009,3,98.4,150,sharpeschoolhigh,493.33,34.88,0.8,13.75,22.76,36.51,17.2,37.21
TLCRP012,1,102.2,131,sharpeschoolhigh,427.84,37.86,0.78,11.74,28.5,40.24,14.78,40.25
TLCRP013,1,108.3,147,sharpeschoolhigh,459.4,34.23,1.24,8.64,27.29,35.93,12.84,36.61
TLCRP014,5,51.1,148,sharpeschoolhigh,414.79,34.42,1.24,7.72,28.58,36.29,15.32,37.79
TLCRP015,2,53.6,144,sharpeschoolhigh,1075.51,37.51,1.1,11.28,29.23,40.5,15.53,40.8
TLCRP016,3,77.4,150,sharpeschoolhigh,726.46,37.38,1.1,12.3,28.05,40.35,17.97,41.44
TLCRP017,3,50.6,128.5,sharpeschoolhigh,867.87,39.77,0.59,35.35,17.82,53.16,16.12,53.2
TLCRP018,4,85.9,148,sharpeschoolhigh,1047.92,38.87,0.67,25.39,24.49,49.89,17.83,51.8
TLCRP021,1,100.9,158,sharpeschoolhigh,676.3,33.16,0.96,13.09,22,35.09,11.52,36.12
TLCRP022,2,104.4,158,sharpeschoolhigh,615.17,33.4,0.92,10.42,24.48,34.9,15.45,35.63
TLCRP023,3,77.1,144,sharpeschoolhigh,-32.65,29.54,0.44,19.71,12.56,32.26,12.44,33.04
TLCRP024,5,55.1,122.5,sharpeschoolhigh,471.31,33.05,0.72,9.53,26.53,36.06,14.04,38.62
TLCRP025,5,56.4,137,sharpeschoolhigh,462.48,35.78,1,9.8,29.68,39.47,13.5,40.45
