,code,model,AIC,topt,rmax,breadth,tfmin,tfmax,sensor,weight,svl,Tb_emerge,Tb_retreat,,,Tretreat - Topt,breadth,rmax
1,TLCRP005,sharpeschoolhigh,764.4690507,36.38527579,1.470085232,6.401,32.55627579,38.95727579,5,61.7,131,13.57565549,41.0756959,,,4.69042011,6.401,1.470085232
11,TLCRP006,sharpeschoolhigh,346.1032,35.09865811,1.17667549,2.975,32.59965811,35.57465811,2,98.5,147,14.51965811,35.73300574,,,0.63434763,2.975,1.17667549
15,TLCRP007,sharpeschoolhigh,526.5987316,37.43880989,1.262935163,6.886,32.01180989,38.89780989,1,81.1,148,10.29680989,40.33066955,,,2.89185966,6.886,1.262935163
23,TLCRP008,sharpeschoolhigh,564.124836,31.63977703,1.672704993,4.917,27.93877703,32.85577703,3,78.4,144,12.02877703,33.42534159,,,1.78556456,4.917,1.672704993
29,TLCRP009,sharpeschoolhigh,512.2423336,34.93541858,0.792749032,13.041,23.50241858,36.54341858,3,98.4,150,17.20274493,37.20896812,,,2.27354954,13.041,0.792749032
36,TLCRP012,sharpeschoolhigh,449.2763041,37.60605112,0.829429678,9.482,29.61905112,39.10105112,1,102.2,131,14.87369096,40.24809208,,,2.64204096,9.482,0.829429678
44,TLCRP013,sharpeschoolhigh,477.2759869,34.19634511,1.250299066,8.064,27.83234511,35.89634511,1,108.3,147,13.29155021,36.61208189,,,2.41573678,8.064,1.250299066
50,TLCRP014,sharpeschoolhigh,419.6280652,34.43671266,1.248746815,7.408,28.84271266,36.25071266,5,51.1,148,15.32104523,37.78723473,,,3.35052207,7.408,1.248746815
58,TLCRP015,sharpeschoolhigh,1124.77571,37.26786611,1.106976547,10.348,29.70186611,40.04986611,2,53.6,144,15.53004753,40.80381394,,,3.53594783,10.348,1.106976547
64,TLCRP016,sharpeschoolhigh,760.9832969,37.39871677,1.105491563,11.417,28.81871677,40.23571677,3,77.4,150,17.97065496,41.44194561,,,4.04322884,11.417,1.105491563
71,TLCRP021,sharpeschoolhigh,729.6672868,33.34811279,0.964256534,11.332,23.62511279,34.95711279,1,100.9,158,12.57611818,36.11695625,,,2.76884346,11.332,0.964256534
79,TLCRP022,sharpeschoolhigh,666.7027901,33.37808859,0.907982214,9.278,25.55508859,34.83308859,2,104.4,158,15.45484746,35.63439687,,,2.25630828,9.278,0.907982214
86,TLCRP023,sharpeschoolhigh,-44.89022351,29.55157665,0.449924289,17,15.18057665,32.18057665,3,77.1,144,12.88781473,33.03906067,,,3.48748402,17,0.449924289
92,TLCRP024,sharpeschoolhigh,485.5653299,33.02362821,0.747500278,7.91,27.91462821,35.82462821,5,55.1,122.5,14.04266455,38.61776554,,,5.59413733,7.91,0.747500278
99,TLCRP025,sharpeschoolhigh,477.744211,35.60818823,1.022879633,8.751,30.51518823,39.26618823,5,56.4,137,13.71594495,40.45331502,,,4.84512679,8.751,1.022879633
