"","code","move","total"
"1","TLCRP005",2.54481357768646,124
"2","TLCRP006",1.74945537854056,40
"3","TLCRP007",2.27742291150763,112
"4","TLCRP008",2.30783062803276,116
"5","TLCRP009",1.43201320675674,71
"6","TLCRP012",1.46399004389871,73
"7","TLCRP013",2.08154515608466,104
"8","TLCRP014",2.43907650664651,120
"9","TLCRP015",1.85800587842553,90
"10","TLCRP016",3.04046291039592,153
"11","TLCRP021",2.49923207141106,126
"12","TLCRP022",2.02675007776185,98
"13","TLCRP023",1.98883007088845,105
"14","TLCRP024",0.985338781669585,45
"15","TLCRP025",2.30787723905263,113
